date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating
11/11/2013,2014,0,,BOS,ORL,1477.7032,1357.2949,0.78053249,0.21946751,1482.7271,1352.2711,,,,,,,,,,,120,105,13,,
11/11/2013,2014,0,,CHO,ATL,1360.1674,1492.153,0.454098626,0.545901374,1351.5477,1500.7726,,,,,,,,,,,94,103,15,,
11/11/2013,2014,0,,UTA,DEN,1457.9104,1557.8162,0.500135565,0.499864435,1442.0969,1573.6296,,,,,,,,,,,81,100,49,,
11/11/2013,2014,0,,LAC,MIN,1600.1183,1525.0079,0.732631794,0.267368206,1602.3845,1522.7417,,,,,,,,,,,109,107,74,,
11/11/2013,2014,0,,IND,MEM,1617.6516,1588.1344,0.678210681,0.321789319,1625.85,1579.936,,,,,,,,,,,95,79,87,,
11/11/2013,2014,0,,CHI,CLE,1520.1075,1368.557,0.809696771,0.190303229,1524.3734,1364.2911,,,,,,,,,,,96,81,21,,
11/11/2013,2014,0,,POR,DET,1471.9656,1409.3708,0.718285081,0.281714919,1475.8209,1405.5155,,,,,,,,,,,109,103,21,,
11/12/2013,2014,0,,DAL,WAS,1539.4266,1463.4423,0.733616041,0.266383959,1544.2731,1458.5958,,,,,,,,,,,105,95,46,,
11/12/2013,2014,0,,MIA,MIL,1682.9924,1438.6611,0.87890807,0.12109193,1686.4232,1435.2303,,,,,,,,,,,118,95,69,,
11/12/2013,2014,0,,LAL,NOP,1469.6475,1437.0068,0.682122082,0.317877918,1479.3883,1427.266,,,,,,,,,,,116,95,25,,
11/12/2013,2014,0,,GSW,DET,1588.0656,1405.5155,0.835688116,0.164311884,1592.1478,1401.4332,,,,,,,,,,,113,95,42,,
11/13/2013,2014,0,,BOS,CHO,1482.7271,1351.5477,0.790968899,0.209031101,1467.7186,1366.5562,,,,,,,,,,,83,89,12,,
